,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
218,C,A,20180101,2018,52,2018,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,1359.354,0.0,1359.354,0,False,True
221,C,A,20190101,2019,52,2019,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1513061278.79,0.0,1513061278.79,4,False,True
228,C,A,20190101,2019,52,2019,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C01,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1288322224.978,0.0,1288322224.978,4,False,True
235,C,A,20190101,2019,52,2019,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,211535298.231,0.0,211535298.231,4,False,True
241,C,A,20190101,2019,52,2019,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,13171071.725,0.0,13171071.725,4,False,True
247,C,A,20190101,2019,52,2019,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,32683.856,0.0,32683.856,0,False,True
250,C,A,20200101,2020,52,2020,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1653244679.46,,1653244679.46,4,False,True
257,C,A,20200101,2020,52,2020,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C01,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1476437608.13,,1476437608.13,4,False,True
264,C,A,20200101,2020,52,2020,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,161356843.37,,161356843.37,4,False,True
270,C,A,20200101,2020,52,2020,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,15421836.6,,15421836.6,0,False,True
