country,date,UN_rGDP,WDI_rGDP,COM
JPN,2013,527946203.85620517,528355427.1014284,3448200.0
JPN,2013,527946203.85620517,528355427.1014284,3431300.0
JPN,2013,527946203.85620517,528355427.1014284,21325.744
JPN,2013,527946203.85620517,528355427.1014284,222513100.0
JPN,2013,527946203.85620517,528355427.1014284,37065900.0
JPN,2013,527946203.85620517,528355427.1014284,5212328.181
JPN,2013,527946203.85620517,528355427.1014284,33145900.0
JPN,2013,527946203.85620517,528355427.1014284,103369.352
JPN,2013,527946203.85620517,528355427.1014284,2594399.223
JPN,2013,527946203.85620517,528355427.1014284,35331.49
JPN,2013,527946203.85620517,528355427.1014284,2214608.762
JPN,2013,527946203.85620517,528355427.1014284,553727.501
JPN,2013,527946203.85620517,528355427.1014284,508700600.0
JPN,2013,527946203.85620517,528355427.1014284,280032.949
JPN,2013,527946203.85620517,528355427.1014284,19274800.0
JPN,2013,527946203.85620517,528355427.1014284,35158.326
JPN,2012,517568438.1870401,517969617.3875621,25674600.0
JPN,2012,517568438.1870401,517969617.3875621,244387.626
JPN,2012,517568438.1870401,517969617.3875621,36115000.0
JPN,2012,517568438.1870401,517969617.3875621,162578.343
JPN,2012,517568438.1870401,517969617.3875621,251514100.0
JPN,2012,517568438.1870401,517969617.3875621,667111.119
JPN,2012,517568438.1870401,517969617.3875621,49671400.0
JPN,2012,517568438.1870401,517969617.3875621,214996100.0
JPN,2012,517568438.1870401,517969617.3875621,452623.059
JPN,2012,517568438.1870401,517969617.3875621,2048900.0
JPN,2012,517568438.1870401,517969617.3875621,54220100.0
JPN,2012,517568438.1870401,517969617.3875621,12972200.0
JPN,2012,517568438.1870401,517969617.3875621,757204.602
JPN,2012,517568438.1870401,517969617.3875621,413177.238
JPN,2012,517568438.1870401,517969617.3875621,125065.084
JPN,2012,517568438.1870401,517969617.3875621,9950000.0
JPN,2012,517568438.1870401,517969617.3875621,622523.079
JPN,2012,517568438.1870401,517969617.3875621,2707288.721
JPN,2012,517568438.1870401,517969617.3875621,457672.535
JPN,2012,517568438.1870401,517969617.3875621,60417700.0
JPN,2012,517568438.1870401,517969617.3875621,-22800.0
JPN,2012,517568438.1870401,517969617.3875621,9979000.0
JPN,2012,517568438.1870401,517969617.3875621,-285.748
JPN,2012,517568438.1870401,517969617.3875621,53229100.0
JPN,2012,517568438.1870401,517969617.3875621,3147400.0
JPN,2012,517568438.1870401,517969617.3875621,3522600.0
JPN,2012,517568438.1870401,517969617.3875621,25678.51
JPN,2012,517568438.1870401,517969617.3875621,216015800.0
JPN,2012,517568438.1870401,517969617.3875621,36517900.0
JPN,2012,517568438.1870401,517969617.3875621,6272362.996
JPN,2012,517568438.1870401,517969617.3875621,32967600.0
JPN,2012,517568438.1870401,517969617.3875621,124701.632
JPN,2012,517568438.1870401,517969617.3875621,3152182.785
JPN,2012,517568438.1870401,517969617.3875621,39445.821
JPN,2012,517568438.1870401,517969617.3875621,2694508.997
JPN,2012,517568438.1870401,517969617.3875621,679531.151
JPN,2012,517568438.1870401,517969617.3875621,500474700.0
JPN,2012,517568438.1870401,517969617.3875621,321775.328
JPN,2012,517568438.1870401,517969617.3875621,19499800.0
JPN,2012,517568438.1870401,517969617.3875621,44148.138
JPN,2011,510549651.748544,510945390.5258963,25917800.0
JPN,2011,510549651.748544,510945390.5258963,246723.91
JPN,2011,510549651.748544,510945390.5258963,36119600.0
JPN,2011,510549651.748544,510945390.5258963,162671.154
JPN,2011,510549651.748544,510945390.5258963,251454000.0
JPN,2011,510549651.748544,510945390.5258963,670110.225
JPN,2011,510549651.748544,510945390.5258963,49785900.0
JPN,2011,510549651.748544,510945390.5258963,215681900.0
JPN,2011,510549651.748544,510945390.5258963,452586.753
JPN,2011,510549651.748544,510945390.5258963,2135600.0
JPN,2011,510549651.748544,510945390.5258963,53085000.0
JPN,2011,510549651.748544,510945390.5258963,12982300.0
JPN,2011,510549651.748544,510945390.5258963,762741.174
JPN,2011,510549651.748544,510945390.5258963,406154.748
JPN,2011,510549651.748544,510945390.5258963,124349.963
JPN,2011,510549651.748544,510945390.5258963,9780700.0
JPN,2011,510549651.748544,510945390.5258963,623828.582
JPN,2011,510549651.748544,510945390.5258963,2678681.655
JPN,2011,510549651.748544,510945390.5258963,448232.5
JPN,2011,510549651.748544,510945390.5258963,60872100.0
JPN,2011,510549651.748544,510945390.5258963,-196800.0
JPN,2011,510549651.748544,510945390.5258963,9924000.0
JPN,2011,510549651.748544,510945390.5258963,-2465.948
JPN,2011,510549651.748544,510945390.5258963,53479500.0
JPN,2011,510549651.748544,510945390.5258963,3705600.0
JPN,2011,510549651.748544,510945390.5258963,3586600.0
JPN,2011,510549651.748544,510945390.5258963,26759.551
JPN,2011,510549651.748544,510945390.5258963,213777600.0
JPN,2011,510549651.748544,510945390.5258963,35772100.0
JPN,2011,510549651.748544,510945390.5258963,6233147.172
JPN,2011,510549651.748544,510945390.5258963,32414000.0
JPN,2011,510549651.748544,510945390.5258963,122554.382
JPN,2011,510549651.748544,510945390.5258963,3150775.465
JPN,2011,510549651.748544,510945390.5258963,46432.006
JPN,2011,510549651.748544,510945390.5258963,2702542.965
JPN,2011,510549651.748544,510945390.5258963,665167.051
JPN,2011,510549651.748544,510945390.5258963,497448900.0
JPN,2011,510549651.748544,510945390.5258963,324755.893
JPN,2011,510549651.748544,510945390.5258963,19690300.0
JPN,2011,510549651.748544,510945390.5258963,44940.909
JPN,2010,510428121.243486,510823765.81992596,26005300.0
JPN,2010,510428121.243486,510823765.81992596,229167.563
JPN,2010,510428121.243486,510823765.81992596,35974300.0
JPN,2010,510428121.243486,510823765.81992596,147973.553
JPN,2010,510428121.243486,510823765.81992596,251043600.0
JPN,2010,510428121.243486,510823765.81992596,602328.267
JPN,2010,510428121.243486,510823765.81992596,49100700.0
JPN,2010,510428121.243486,510823765.81992596,216237800.0
JPN,2010,510428121.243486,510823765.81992596,409824.006
JPN,2010,510428121.243486,510823765.81992596,1858500.0
JPN,2010,510428121.243486,510823765.81992596,52167100.0
JPN,2010,510428121.243486,510823765.81992596,12989100.0
JPN,2010,510428121.243486,510823765.81992596,698197.622
JPN,2010,510428121.243486,510823765.81992596,370607.728
JPN,2010,510428121.243486,510823765.81992596,116583.67
JPN,2010,510428121.243486,510823765.81992596,9967800.0
JPN,2010,510428121.243486,510823765.81992596,559361.699
JPN,2010,510428121.243486,510823765.81992596,2551632.706
JPN,2010,510428121.243486,510823765.81992596,396512.299
JPN,2010,510428121.243486,510823765.81992596,61287700.0
JPN,2010,510428121.243486,510823765.81992596,-2027000.0
JPN,2010,510428121.243486,510823765.81992596,10233700.0
JPN,2010,510428121.243486,510823765.81992596,-23091.853
JPN,2010,510428121.243486,510823765.81992596,52872300.0
JPN,2010,510428121.243486,510823765.81992596,3442400.0
JPN,2010,510428121.243486,510823765.81992596,3545800.0
JPN,2010,510428121.243486,510823765.81992596,21172.279
JPN,2010,510428121.243486,510823765.81992596,223982000.0
JPN,2010,510428121.243486,510823765.81992596,34805800.0
JPN,2010,510428121.243486,510823765.81992596,5759071.769
JPN,2010,510428121.243486,510823765.81992596,32531900.0
JPN,2010,510428121.243486,510823765.81992596,113554.502
JPN,2010,510428121.243486,510823765.81992596,2859922.049
JPN,2010,510428121.243486,510823765.81992596,39216.278
JPN,2010,510428121.243486,510823765.81992596,2463409.751
JPN,2010,510428121.243486,510823765.81992596,594294.535
JPN,2010,510428121.243486,510823765.81992596,505530600.0
JPN,2010,510428121.243486,510823765.81992596,296255.833
JPN,2010,510428121.243486,510823765.81992596,20116300.0
JPN,2010,510428121.243486,510823765.81992596,40394.225
JPN,2009,490334611.3406032,490714680.975585,24742000.0
JPN,2009,490334611.3406032,490714680.975585,231334.609
JPN,2009,490334611.3406032,490714680.975585,35492000.0
JPN,2009,490334611.3406032,490714680.975585,171323.979
JPN,2009,490334611.3406032,490714680.975585,253660600.0
JPN,2009,490334611.3406032,490714680.975585,557700.655
JPN,2009,490334611.3406032,490714680.975585,48264000.0
JPN,2009,490334611.3406032,490714680.975585,219196200.0
JPN,2009,490334611.3406032,490714680.975585,379309.247
JPN,2009,490334611.3406032,490714680.975585,1896800.0
JPN,2009,490334611.3406032,490714680.975585,53279500.0
JPN,2009,490334611.3406032,490714680.975585,16030800.0
JPN,2009,490334611.3406032,490714680.975585,641118.338
JPN,2009,490334611.3406032,490714680.975585,342231.159
JPN,2009,490334611.3406032,490714680.975585,110910.443
JPN,2009,490334611.3406032,490714680.975585,9791900.0
JPN,2009,490334611.3406032,490714680.975585,515805.857
JPN,2009,490334611.3406032,490714680.975585,2260839.998
JPN,2009,490334611.3406032,490714680.975585,368327.105
JPN,2009,490334611.3406032,490714680.975585,59989500.0
JPN,2009,490334611.3406032,490714680.975585,-2291800.0
JPN,2009,490334611.3406032,490714680.975585,10377900.0
JPN,2009,490334611.3406032,490714680.975585,-24492.87
JPN,2009,490334611.3406032,490714680.975585,52184100.0
JPN,2009,490334611.3406032,490714680.975585,3469400.0
JPN,2009,490334611.3406032,490714680.975585,3722200.0
JPN,2009,490334611.3406032,490714680.975585,20271.435
JPN,2009,490334611.3406032,490714680.975585,211547000.0
JPN,2009,490334611.3406032,490714680.975585,34464400.0
JPN,2009,490334611.3406032,490714680.975585,5289493.735
JPN,2009,490334611.3406032,490714680.975585,32022600.0
JPN,2009,490334611.3406032,490714680.975585,104647.758
JPN,2009,490334611.3406032,490714680.975585,2710915.448
JPN,2009,490334611.3406032,490714680.975585,37078.088
JPN,2009,490334611.3406032,490714680.975585,2342588.344
JPN,2009,490334611.3406032,490714680.975585,569407.388
JPN,2009,490334611.3406032,490714680.975585,494938400.0
JPN,2009,490334611.3406032,490714680.975585,264422.106
JPN,2009,490334611.3406032,490714680.975585,21646000.0
JPN,2009,490334611.3406032,490714680.975585,39779.806
JPN,2008,519935784.46443176,520338798.6493509,24421500.0
JPN,2008,519935784.46443176,520338798.6493509,219859.823
JPN,2008,519935784.46443176,520338798.6493509,36736300.0
JPN,2008,519935784.46443176,520338798.6493509,166030.225
JPN,2008,519935784.46443176,520338798.6493509,266666700.0
JPN,2008,519935784.46443176,520338798.6493509,573349.363
JPN,2008,519935784.46443176,520338798.6493509,55336400.0
JPN,2008,519935784.46443176,520338798.6493509,230751200.0
JPN,2008,519935784.46443176,520338798.6493509,355422.599
JPN,2008,519935784.46443176,520338798.6493509,1785700.0
