country,ISO3,year,gdp_per_capita
Japan,JPN,2004,40360.3600588774
Japan,JPN,2005,41084.5620630809
Japan,JPN,2006,41622.0003874483
Japan,JPN,2007,42191.1489132898
Japan,JPN,2008,41654.4311104211
Japan,JPN,2009,39287.8544592545
Japan,JPN,2010,40890.4936735911
Japan,JPN,2011,40976.0577687849
Japan,JPN,2012,41605.7723578966
Japan,JPN,2013,42501.2829637667
Japan,JPN,2014,42683.7754496421
Japan,JPN,2015,43395.9393536881
Japan,JPN,2016,43745.4341166357
Japan,JPN,2017,44514.7464836783
Japan,JPN,2018,44858.0301736984
Japan,JPN,2019,44740.4255043033
Japan,JPN,2020,43011.3379536038
Japan,JPN,2021,44315.4979912492
Japan,JPN,2022,44937.608867666
Japan,JPN,2023,45915.353682577
Kazakhstan,KAZ,2000,12935.864368308
Kazakhstan,KAZ,2001,14612.0290050498
Kazakhstan,KAZ,2002,15960.8738450013
Kazakhstan,KAZ,2003,17344.752672995
Kazakhstan,KAZ,2004,18886.5811908122
Kazakhstan,KAZ,2005,20565.5294470866
Kazakhstan,KAZ,2006,22574.3429577665
Kazakhstan,KAZ,2007,24351.3464102542
Kazakhstan,KAZ,2008,24895.6645683245
Kazakhstan,KAZ,2009,24901.3527260084
Kazakhstan,KAZ,2010,26374.8407672795
Kazakhstan,KAZ,2011,27946.1603432944
Kazakhstan,KAZ,2012,28881.2417563728
Kazakhstan,KAZ,2013,30177.4887221736
Kazakhstan,KAZ,2014,30986.4379168995
Kazakhstan,KAZ,2015,30893.7594851041
Kazakhstan,KAZ,2016,30758.3227260598
Kazakhstan,KAZ,2017,31524.4416339794
Kazakhstan,KAZ,2018,32330.2274546567
Kazakhstan,KAZ,2019,33298.2123695035
Kazakhstan,KAZ,2020,32011.5491499004
Kazakhstan,KAZ,2021,32945.8515725823
Kazakhstan,KAZ,2022,33506.2614893237
Kazakhstan,KAZ,2023,34703.2349286604
Kenya,KEN,2000,3756.63622296879
Kenya,KEN,2001,3778.25854755615
Kenya,KEN,2002,3681.2569427491
Kenya,KEN,2003,3674.08592758409
Kenya,KEN,2004,3743.56785736929
Kenya,KEN,2005,3844.73557120578
Kenya,KEN,2006,3970.73349887685
Kenya,KEN,2007,4116.45094720856
Kenya,KEN,2008,4002.88364073792
Kenya,KEN,2009,4012.19428382397
Kenya,KEN,2010,4211.52462957784
Kenya,KEN,2011,4307.10611556858
Kenya,KEN,2012,4387.93790075409
Kenya,KEN,2013,4443.371215682
Kenya,KEN,2014,4558.55155266374
Kenya,KEN,2015,4679.62182831938
Kenya,KEN,2016,4770.31046388086
Kenya,KEN,2017,4846.86210851932
